model,dataset,fold,tau,n,n_excluded,comply_pos,comply_neg,pos_only,neg_only,discordant,asymmetry,mcnemar_exact_p
llama3_8b,pavlick_nli,train,0.05,298,198,298,298,0,0,0,0.0,1.0
llama3_8b,pavlick_nli,train,0.1,298,198,298,298,0,0,0,0.0,1.0
llama3_8b,pavlick_nli,train,0.25,298,198,298,298,0,0,0,0.0,1.0
llama3_8b,pavlick_nli,train,0.5,298,198,298,298,0,0,0,0.0,1.0
llama3_8b,truthfulqa,train,0.05,491,326,491,491,0,0,0,0.0,1.0
llama3_8b,truthfulqa,train,0.1,491,326,491,491,0,0,0,0.0,1.0
llama3_8b,truthfulqa,train,0.25,491,326,491,491,0,0,0,0.0,1.0
llama3_8b,truthfulqa,train,0.5,491,326,491,488,3,0,3,0.006109979633401222,0.25
mistral_7b,pavlick_nli,train,0.05,298,198,298,298,0,0,0,0.0,1.0
mistral_7b,pavlick_nli,train,0.1,298,198,298,298,0,0,0,0.0,1.0
mistral_7b,pavlick_nli,train,0.25,298,198,298,298,0,0,0,0.0,1.0
mistral_7b,pavlick_nli,train,0.5,298,198,298,298,0,0,0,0.0,1.0
mistral_7b,truthfulqa,train,0.05,491,326,491,491,0,0,0,0.0,1.0
mistral_7b,truthfulqa,train,0.1,491,326,491,491,0,0,0,0.0,1.0
mistral_7b,truthfulqa,train,0.25,491,326,491,491,0,0,0,0.0,1.0
mistral_7b,truthfulqa,train,0.5,491,326,419,448,11,40,51,-0.059063136456211814,5.703811637403078e-05
qwen2_5_7b,pavlick_nli,train,0.05,298,198,298,298,0,0,0,0.0,1.0
qwen2_5_7b,pavlick_nli,train,0.1,298,198,298,298,0,0,0,0.0,1.0
qwen2_5_7b,pavlick_nli,train,0.25,298,198,298,298,0,0,0,0.0,1.0
qwen2_5_7b,pavlick_nli,train,0.5,298,198,298,298,0,0,0,0.0,1.0
qwen2_5_7b,truthfulqa,train,0.05,491,326,491,491,0,0,0,0.0,1.0
qwen2_5_7b,truthfulqa,train,0.1,491,326,491,491,0,0,0,0.0,1.0
qwen2_5_7b,truthfulqa,train,0.25,491,326,491,491,0,0,0,0.0,1.0
qwen2_5_7b,truthfulqa,train,0.5,491,326,491,491,0,0,0,0.0,1.0
